Beer Name,Brewery Name,Type,Their Rating,Global Rating,ABV,IBU,Total
'Bout Damn Time,4 Noses Brewing Company,4.5,3.88,7.1,68,1
(512) IPA,(512) Brewing Company,3.75,3.72,7,65,1
13 IPA,Crystal Springs Brewing Company,4.75,3.74,7.2,87,3
1319181 (Dry-hopped Amber),Crystal Springs Brewing Company,3.5,3.77,7.2,45,1
1554,New Belgium Brewing Company,3.75,3.69,6,21,1
1771 IPA,The Post Brewing Company,3.75,3.72,7.3,N/A,1
18 Road IPA,Copper Club Brewing Company,3.75,3.75,6.8,64,1
25th Anniversary Double Hazy IPA,Great Divide Brewing Company,4.25,3.93,8,N/A,1
2x4 DIPA,Melvin Brewing,4,4.09,9.9,100,1
2XIPA,Southern Tier Brewing Company,3.25,3.79,8.2,80,1
3.8 Miles,WeldWerks Brewing Co.,4.5,4.19,8.4,N/A,1
300 Days Tangerine IPA,Pikes Peak Brewing Co.,3.25,3.56,5.7,N/A,1
3C IPA,Triple C Brewing Company,3.25,3.74,6.2,70,1
40 Days & 40 Nights,Lazarus Brewing Company,3.5,3.83,7.5,N/A,1
420 Extra Pale Ale,SweetWater Brewing Company,3.5,3.61,5.7,39,1
5 Barrel Pale Ale,Odell Brewing Co.,3.75,3.67,5.2,36,1
5030 Double IPA,Berthoud Brewing Company,3.5,3.82,8.8,65,1
5th Anniversary DDH,Outer Range Brewing Rockies/Alps,5,4.32,7.8,N/A,1
60 Minute IPA,Dogfish Head Craft Brewery,3.5,3.84,6,60,1
7K IPA,Santa Fe Brewing Company,3.5,3.81,7,70,1
90 Shilling,Odell Brewing Co.,3.75,3.7,5.3,27,1
A Little Sumpin' Sumpin' Ale,Lagunitas Brewing Company,3.75,3.78,7.5,64,1
A Many Splendored Thing,WeldWerks Brewing Co.,4.25,4.16,8,N/A,1
A Night on Ponce IPA,Three Taverns Brewery,3.5,3.82,7.5,69,1
A Year In the Making,Trustworthy Brewing Co.,3.25,3.42,4.9,40,1
Aaalterrr Ego,Tree House Brewing Company,4.75,4.4,6.8,N/A,1
Acceleration,Gravity Brewing,3,3.78,9.8,98,1
Admiral Abyss,Odd13 Brewing,4.25,3.76,7,N/A,1
Ales For A.L.S. IPA,Faction Brewing,3.5,3.81,6.8,60,1
Alienator,Gravity Brewing,4,3.92,8.7,19,1
All Day IPA,Founders Brewing Co.,3.75,3.69,4.7,42,1
ALLEGEDLY (Ferda),Uhl’s Brewing Co,4,3.91,6.7,5,1
Alpha Twins,Odd13 Brewing,4.25,4.15,8.25,N/A,1
Alphadelic,Hop Valley Brewing Company,3.75,3.72,7.2,90,1
Alpine Dreams,Outer Range Brewing Rockies/Alps,3.5,4.12,6.6,N/A,1
Alpine Valley,Outer Range Brewing Rockies/Alps,4.25,4.04,7.5,N/A,1
Altbier,Prost Brewing Co. & Biergarten,3.25,3.49,5,37,1
Alter Ego,Tree House Brewing Company,4.75,4.4,6.8,72,1
Amber,Alaskan Brewing Co.,3.75,3.61,5.3,18,1
Amber,Colorado Native,3,3.45,5.5,38,1
Amber Ale,Kirkland Signature,2,2.93,5.7,N/A,1
Amber’s Lager,Irwin Brewing Company,4.25,3.72,5.5,31,1
American Pale Ale,Kirkland Signature,2.5,3.06,5.4,37,2
American Stout,Crystal Springs Brewing Company,3.75,3.73,6.7,69,1
Anchor Porter,Anchor Brewing Company,3.75,3.57,5.6,40,1
Anchor Steam Beer,Anchor Brewing Company,3.5,3.49,4.9,33,1
Angel City IPA,Angel City Brewery,3.25,3.57,6.1,65,1
Apricot Blonde,Dry Dock Brewing Company,3.5,3.82,5.1,17,1
Aquatic Assassin,Odd13 Brewing,4,3.89,6.4,N/A,1
Arguing Semantics,Cerebral Brewing,4.25,4.13,7.5,N/A,1
Atlantis - Hazy Day IPA,New Terrain Brewing Co.,3.75,3.81,5.8,N/A,1
Avalanche Amber Ale,Breckenridge Brewery,3,3.51,5,19,1
Avery IPA,Avery Brewing Co.,3.5,3.62,6.5,69,1
AVL IPA,Highland Brewing Company,3,3.7,6.5,65,1
Axe Man,Surly Brewing Company,4,4.12,7.2,65,1
B-43,Old Nation Brewing Co.,4.25,3.86,7,65,1
B-Bomb (2016),Fremont Brewing,4.25,4.35,14,N/A,1
Barmen Pilsner,AC Golden Brewing Co.,4.5,3.82,5.1,N/A,1
Beach Daze,Burgeon Beer Company,4.25,3.91,6.3,32,1
Beach Life,Leatherback Brewing Co.,3.5,3.56,4.5,18,1
Beerito®,Oskar Blues Brewery®,3.75,3.44,4.5,21,1
Belgian Black Cherry,Great Basin Brewing Company,3.75,3.75,7.4,N/A,1
Belikin Beer,Belize Brewing Company,3.5,3.2,4.8,18,1
Berries & Cream Oatmeal Stout,Wild Blue Yonder Brewing Co.,4.25,3.78,5.5,26,2
Big Bike Double IPA,Carver Brewing Company,2.5,3.94,7.8,111,1
Billow,Outer Range Brewing Rockies/Alps,4,3.94,6,N/A,1
Black Ale,Perrin Brewing Co.®,3.75,3.74,5.8,20,1
Black Array,Gravity Brewing,4,3.78,6.3,60,1
Black Butte Porter,Deschutes Brewery,4,3.81,5.5,30,1
Black Saddle (2012),Crystal Springs Brewing Company,4,3.82,13,57,1
Blackberry Serrano Berliner,WeldWerks Brewing Co.,4,3.96,4.7,N/A,1
Blind Pig IPA,Russian River Brewing Company,3.5,4.15,6.25,70,1
Blocks of Light,Outer Range Brewing Rockies/Alps,4.25,4.06,6.2,N/A,1
Blood Orange Double IPA,Rails End Beer Company,3.75,3.95,7.8,82,1
Blood Orange Express Ipa,12Degree Brewing,3.75,3.91,5.9,40,1
Blood Orange IPA,Tommyknocker Brewery,3.75,3.73,6,55,1
Blood Orange Kölsch,Crystal Springs Brewing Company,3.75,3.77,4.9,25,1
Bob's Cedar IPA,Crystal Springs Brewing Company,4,3.66,8,54,1
Boogie Van,Craftsman Brew Co,3.75,3.96,7.2,N/A,1
Boomsauce,Lord Hobo Brewing Co.,4,3.91,8,78,1
Boopable Snoot,WeldWerks Brewing Co.,4.5,4.05,6.6,N/A,1
Boris The Spider,Spider Bite Beer Company,3.5,3.8,10,N/A,1
Boss Tweed,Old Nation Brewing Co.,5,4.27,9.3,68,2
Boston Lager,Samuel Adams,3.75,3.42,5,30,1
Bourbon Barrel Aged Imperial Stout,Finkel & Garf Brewing Company,4.25,4.14,12.9,70,1
Bourbon Barrel Aged Java Stout,Eddyline Brewery - USA,3.5,4.07,10,50,1
Brain Waves,Cerebral Brewing,4.5,4.09,6.9,N/A,1
Brew Free! or Die,21st Amendment Brewery,3.75,3.76,6.8,65,2
Brosef,Zydeco Brew Werks,4,3.86,5.5,N/A,1
Brown Ale,Upslope Brewing Company,3.25,3.64,6.7,45,1
Brown Ale,Kirkland Signature,2,3.13,5,23,1
Brownie Batter Stout,WeldWerks Brewing Co.,3.5,3.91,7.3,N/A,1
Bud Light,Anheuser-Busch,1.75,2.33,4.2,6,1
Budweiser,Anheuser-Busch,2,2.62,5,12,1
Bumps & Jumps Session IPA,Breckenridge Brewery,3,3.65,4.5,N/A,1
Bush Life,Leatherback Brewing Co.,3.75,3.57,6.4,15,1
Cactus Juice,12Degree Brewing,4,3.97,6.5,12,1
Can-O-Bliss® Tropical IPA,Oskar Blues Brewery®,3,3.76,7.2,68,1
Captive Gaze,Knotted Root Brewing Company,4.25,4.28,7.2,60,1
Cardboard Meteorite,WeldWerks Brewing Co.,4.5,4.21,8.3,N/A,1
Carib Lager,Carib Brewery Limited,3,2.98,5,N/A,1
Cart Horse,Old Nation Brewing Co.,4.25,4.08,7,60,1
Cashmere,Variant Brewing Company,4.25,4.06,8,N/A,1
Centennial IPA,Founders Brewing Co.,4,3.75,7.2,65,1
Cerveza,Irwin Brewing Company,4,3.54,5.4,18,1
Chang Classic,Thai Beverage PLC,2,2.92,5,12,1
Chasin' Freshies,Deschutes Brewery,3,3.77,6,55,1
