Name,Style,Brewery,Beer Name (Full),Description,ABV,Min IBU,Max IBU,Astringency,Body,Alcohol,Bitter,Sweet,Sour,Salty,Fruits,Hoppy,Spices,Malty,review_aroma,review_appearance,review_palate,review_taste,review_overall,number_of_reviews,City,Country
Amber,Altbier,Alaskan Brewing Co.,Alaskan Brewing Co. Alaskan Amber,"Notes:Richly malty and long on the palate, with just enough hop backing to make this beautiful amber colored ""alt"" style beer notably well balanced.\t",5.3,25,50,13,32,9,47,74,33,0,33,57,8,111,3.498994,3.636821,3.556338,3.643863,3.847082,497,Juneau,AK
Double Bag,Altbier,Long Trail Brewing Co.,Long Trail Brewing Co. Double Bag,"Notes:This malty, full-bodied double alt is also known as “Stickebier” – German slang for “secret brew”. Long Trail Double Bag was originally offered only in our brewery taproom as a special treat to our visitors. With an alcohol content of 7.2%, please indulge in moderation. The Long Trail Brewing Company is proud to have Double Bag named Malt Advocate’s “Beer of the Year” in 2001. Malt Advocate is a national magazine devoted to “expanding the boundaries of fine drinks”. Their panel of judges likes to keep things simple, and therefore of thousands of eligible competitors they award only two categories: “Imported” and “Domestic”. It is a great honor to receive this recognition.33 IBU\t",7.2,25,50,12,57,18,33,55,16,0,24,35,12,84,3.798337,3.846154,3.904366,4.024948,4.034304,481,Bridgewater Corners,USA
Long Trail Ale,Altbier,Long Trail Brewing Co.,Long Trail Brewing Co. Long Trail Ale,"Notes:Long Trail Ale is a full-bodied amber ale modeled after the “Alt-biers” of Düsseldorf, Germany. Our top fermenting yeast and cold finishing temperature result in a complex, yet clean, full flavor. Originally introduced in November of 1989, Long Trail Ale beer quickly became, and remains, the largest selling craft-brew in Vermont. It is a multiple medal winner at the Great American Beer Festival.25 IBU\t",5.0,25,50,14,37,6,42,43,11,0,10,54,4,62,3.409814,3.667109,3.600796,3.6313,3.830239,377,Bridgewater Corners,USA
Sleigh'r Dark Doüble Alt Ale,Altbier,Ninkasi Brewing Company,Ninkasi Brewing Company Sleigh'r Dark Doüble Alt Ale,"Notes:Called 'Dark Double Alt' on the label.Seize the season with Sleigh'r. Layers of deeply toasted malt are balanced by just enough hop bitterness to make it deceivingly drinkable. Paired with a dry finish, Sleigh’r is anything but your typical winter brew.An Alt ferments with Ale yeast at colder lagering temperatures. This effect gives Alts a more refined, crisp lager-like flavor than traditional ales. The Alt has been “Ninkasified” raising the ABV and IBUs. Sleigh'r has a deep, toasted malt flavor that finishes dry and balanced.50 IBU\t",7.2,25,50,25,51,26,44,45,9,1,11,51,20,95,3.625,3.973958,3.734375,3.765625,3.817708,96,Eugene,USA
Southampton Altbier,Altbier,Southampton Publick House,Southampton Publick House Southampton Altbier,Notes:,5.0,25,50,18,49,5,37,73,22,0,21,37,4,98,3.496629,3.735955,3.588764,3.579775,3.738202,445,Southampton,USA
Copper,Altbier,The Olde Mecklenburg Brewery,The Olde Mecklenburg Brewery OMB Copper,"Notes:OMB’s flagship, Copper, is an authentic Düsseldorf style “Altbier” or Amber Ale. There are no crazy flavors or gimmicks with Copper – its full-flavored start transitions to a smooth, balanced, easy-drinking finish. It’s the beer that tastes like beer.\t",4.8,25,50,25,35,4,38,39,13,1,8,60,16,97,3.847826,4.043478,4.119565,3.98913,4.184783,46,Charlotte,USA
Altbier,Altbier,Uerige Obergärige Hausbrauerei GmbH / Zum Uerige,Uerige Obergärige Hausbrauerei GmbH / Zum Uerige Uerige Altbier (Classic),"Notes:Uerige Alt is the most bittered beer in Germany. In spite of this (or just for that reason), this legendary Altbier from Düsseldorf is so full-bodied, aromatic and wholesome.Our top-fermented specialty has been brewed since 1862 from barley malt, caramel malt, roasted malt, hops, water - and with our very special Uerige yeast.Our Uerige Alt is regularly chosen among the ten best beers in Germany. It has an alcohol content of 4.7% and a minimum fresh date of eight weeks.Unser Uerige Alt wird regelmäßig unter die zehn besten Biere Deutschlands gewählt. Es hat einen Alkoholgehalt von 4,7% und ein Mindestfrischedatum von acht Wochen.\t",4.7,25,50,34,48,9,55,59,25,1,32,68,12,121,3.887701,4.061497,3.949198,4.053476,4.101604,187,Düsseldorf,Germany
Gerst Amber,Altbier,Yazoo Brewing Company,Yazoo Brewing Company Gerst Amber,"Notes:Check out a piece of Nashville brewing history! Gerst Brewery was the original Nashville brewery, but never recovered after prohibition. We are excited to partner with the Chandler Family, owners of the Gerst Haus Restaurant, to bring this beer back right where it belongs – Nashville, Tennessee.This is a very “clean” beer, with mostly German malts and a hint of flaked maize, remaining as true as possible to the original Gerst recipe.11 IBUs\t",5.1,25,50,10,19,1,21,30,11,4,8,24,2,65,3.833333,4.333333,3.833333,4.0,4.0,3,Madison,USA
Ad Astra Ale,Altbier,Free State Brewing Co.,Free State Brewing Co. Ad Astra Ale,"Notes:This ale is the first brewed in Kansas since pioneering days. The name ""Ad Astra comes from the Kansas State Motto - Ad Astra per Aspera, Latin words meaning ""To the Stars through Difficulties"". We've blended Pale, Caramel, and Munich malts for a rich amber beer. The hops balance this malty sweetness, and we've chosen Northern brewer and Fuggles hops for their flavor.24 IBU\t",5.6,25,50,7,30,5,43,43,13,1,13,50,6,93,3.52381,3.904762,3.77381,3.690476,3.869048,42,Lawrence,USA
Copperhead Ale,Altbier,Fordham Brewing Company,Fordham Brewing Company Fordham Copperhead Ale,Notes:The name isn’t a coincidence. This Düsseldorf style Altbier blends caramelized malted barley with pronounced hop character to create a subtle copper hue. Copperhead Ale is famous for its signature balanced flavor & impeccable smoothness.\t,5.2,25,50,9,32,9,29,54,13,1,11,32,2,112,3.202381,3.541667,3.267857,3.303571,3.482143,84,Dover,USA
